wikidata_qid,imdb_id,tmdb_type,tmdb_id,trakt_type,trakt_id,plex_type,plex_id,appletv_id,rottentomatoes_id,title,year,director,duration,tomatometer
Q39722,tt0076618,movie,11319,movie,6418,movie,5d776836eb5d26001f1e0f2c,umc.cmc.298kkytd4volkd7u1jhyknj7b,m/the_rescuers_1977,"The Rescuers",1977,,76,82
Q39975,tt0106677,movie,9571,movie,4849,movie,5d776833103a2d001f56739a,umc.cmc.4nwd3j141c896ujmzmxpby1zp,m/dazed_and_confused,"Dazed and Confused",1993,"Richard Linklater",98,92
Q39999,tt0113749,movie,2293,movie,1614,movie,5d9f34ee6fc551001ef7f1a4,umc.cmc.ptrke1iex6zm21rdtuksqx10,m/mallrats,Mallrats,1995,"Kevin Smith",94,57
Q40115,tt0118842,movie,2255,movie,1585,movie,5d77682b6f4521001ea9a098,umc.cmc.1ave5c3trrcw3frib2pr4awls,m/chasing_amy,"Chasing Amy",1997,"Kevin Smith",111,87
Q40187,tt0120655,movie,1832,movie,1212,movie,5d77682aeb5d26001f1de295,,m/dogma,Dogma,1999,"Kevin Smith",120,67
Q40895,tt0033563,movie,11360,movie,6456,movie,5d776837a091de001f2e83dd,umc.cmc.5l5te302410nyy0se0qlbc6m4,m/dumbo,Dumbo,1941,,64,98
Q41483,tt0060196,movie,429,movie,341,movie,5d776826880197001ec905d3,umc.cmc.7f1bwjagfxhm7uo4ra9nw59ad,m/the_good_the_bad_and_the_ugly,"The Good, the Bad and the Ugly",1966,"Sergio Leone",178,97
Q41754,tt0259324,movie,1250,movie,866,movie,5d776828999c64001ec2ce5e,umc.cmc.hklfeydrhrruhss8rml0yacp,m/ghost_rider,"Ghost Rider",2007,"Mark Steven Johnson",110,26
Q42047,tt0099685,movie,769,movie,612,movie,5d7768282ec6b5001f6ba4da,umc.cmc.77gvldp7rsv3dl2s6iec16srm,m/1032176-goodfellas,Goodfellas,1990,"Martin Scorsese",146,96
Q42051,tt0121766,movie,1895,movie,1270,movie,5d77682a61141d001fb13a3a,umc.cmc.5nolvqgurfe17eln52s0b7j6j,m/star_wars_episode_iii_revenge_of_the_sith,"Star Wars: Episode III – Revenge of the Sith",2005,"George Lucas",140,80
Q42198,tt0113277,movie,949,movie,789,movie,5d7768285af944001f1f708d,umc.cmc.556ij13yd85l0n92qpyi9ptf1,m/heat_1995,Heat,1995,"Michael Mann",171,87
Q44578,tt0120338,movie,597,movie,475,movie,5d776d10ad5437001f7cc065,umc.cmc.2xfg89gkgo2469x0985e0eqq7,m/titanic,Titanic,1997,"James Cameron",194,89
Q44935,tt0808399,movie,12572,movie,7340,movie,5d9f35019dd5f4001e843363,umc.cmc.5rn1qfu5k3j36t0ty2g0olb0z,m/new_york_i_love_you,"New York, I Love You",2009,,103,37
Q45394,tt1259521,movie,22970,movie,13937,movie,5d77684a85719b001f3a77d2,umc.cmc.6sjabj6xhuvkreckrjmwyvers,m/the_cabin_in_the_woods,"The Cabin in the Woods",2012,"Drew Goddard",95,92
Q45602,tt0027977,movie,3082,movie,2058,movie,5d77682cf54112001f5bc793,umc.cmc.3tcp1o8pfpodim7m9r2bjk3t3,m/modern_times,"Modern Times",1936,"Charlie Chaplin",99,98
Q46551,tt0482571,movie,1124,movie,851,movie,5d776828999c64001ec2ce66,umc.cmc.xafhh76eamlmtgprndbgiq71,m/prestige,"The Prestige",2006,"Christopher Nolan",125,76
Q46717,tt0325980,movie,22,movie,18,movie,5d776824999c64001ec2beb6,umc.cmc.1wsvf8g54wi5yhum7spxmh470,m/pirates_of_the_caribbean_the_curse_of_the_black_pearl,"Pirates of the Caribbean: The Curse of the Black Pearl",2003,"Gore Verbinski",137,79
Q47075,tt0086250,movie,111,movie,80,movie,5d7768242e80df001ebdcc24,umc.cmc.5s65ef1j9sxh2wrizh9v6mvf8,m/scarface,Scarface,1983,"Brian De Palma",170,82
Q47221,tt0075314,movie,103,movie,72,movie,5d776d15594b2b001e700cb1,umc.cmc.3dnsidxjodrqqk4eqg8i5wg8r,m/taxi_driver,"Taxi Driver",1976,"Martin Scorsese",114,96
Q47296,tt0074512,movie,5854,movie,3332,movie,5d77682f8718ba001e31357d,umc.cmc.188lcqg3tnbgmph2qj6cq7e5j,m/family_plot,"Family Plot",1976,"Alfred Hitchcock",115,92
Q47703,tt0068646,movie,238,movie,196,movie,5d7768248a7581001f12bc72,umc.cmc.3ew9fykdnpfaq9t2jq5da011c,m/the_godfather,"The Godfather",1972,"Francis Ford Coppola",175,97
Q48758,tt0491738,tv,1447,show,1438,show,5d9c086ce98e47001eb0f527,umc.cmc.4mrda39021a4w75i3fbehihi5,tv/psych,Psych,,"Steve Franks",42,
Q48980,tt0119528,movie,1624,movie,1071,movie,5d776829a091de001f2e66cf,umc.cmc.36u5anbk2k9z6ovo3y4tkuccn,m/liar_liar,"Liar Liar",1997,"Tom Shadyac",83,82
Q49018,tt0116329,movie,11076,movie,6213,movie,5d7768367e9a3c0020c6cf92,umc.cmc.2n9p7k7c52uqm6gzkebvlxzwy,m/fly_away_home,"Fly Away Home",1996,"Carroll Ballard",107,87
Q49498,tt0120647,movie,8656,movie,4258,movie,5d776832a091de001f2e7810,umc.cmc.4j0lod05l5gl0tdp87905t460,m/deep_impact,"Deep Impact",1998,"Mimi Leder",120,45
Q49903,tt1175709,movie,46503,movie,31910,movie,5d9f357fe4fc29001eb6720e,umc.cmc.4kbtcse0qezb0ok9k4gug0fr7,m/all_good_things,"All Good Things",2010,"Andrew Jarecki",101,35
Q50861,tt0337978,movie,1571,movie,1028,movie,5d77682961141d001fb139f6,umc.cmc.532g428ovpfzjwubi7ydjlzok,m/live_free_or_die_hard,"Live Free or Die Hard",2007,"Len Wiseman",128,82
Q51416,tt0119654,movie,607,movie,485,movie,5d776d179ab544002151b683,umc.cmc.5blzgpf9anbm6xmrrsqnnai5e,m/men_in_black,"Men in Black",1997,"Barry Sonnenfeld",94,92
Q51520,tt0019254,movie,780,movie,623,movie,5d776d1396b655001fe3e9c7,umc.cmc.6mn8qf7mz97nmlbsoa332r0hq,m/passion_of_joan_of_arc,"The Passion of Joan of Arc",1928,"Carl Theodor Dreyer",110,98
Q51668,tt0335345,movie,615,movie,491,movie,5d776827999c64001ec2c7ef,umc.cmc.mgujro54bpxhcmhk57tgbbpz,m/passion_of_the_christ,"The Passion of the Christ",2004,"Mel Gibson",127,49
Q53093,tt1305826,tv,15260,show,15195,show,5d9c07f72df347001e3a70b4,,tv/adventure_time,"Adventure Time",,,,
Q53110,tt0475293,movie,10947,movie,6095,movie,5d776d0f96b655001fe3e1c8,umc.cmc.7ivnejxxirsjlv4plfof31zq4,m/high_school_musical,"High School Musical",2006,"Kenny Ortega",98,65
Q53719,tt1276104,movie,59967,movie,42897,movie,5d77689f7a53e9001e6d4473,umc.cmc.4ntyk3wj5kd607ayjhnt1jqmr,m/looper,Looper,2012,"Rian Johnson",119,93
Q54274,tt0449088,movie,285,movie,239,movie,5d77682454c0f0001f301a49,umc.cmc.35wbd6n65i56xx68q5l1a99i1,m/pirates_of_the_caribbean_3,"Pirates of the Caribbean: At World's End",2007,"Gore Verbinski",162,44
Q58439,tt0100758,movie,1498,movie,992,movie,5d77682985719b001f3a14c0,umc.cmc.4hzjnc76plinsohzo7297t266,m/teenage_mutant_ninja_turtles_the_movie,"Teenage Mutant Ninja Turtles",1990,"Steve Barron",93,40
